Timestamp (ms),Temperature (°C),Humidity (%),Pressure (hPa),Light Level (lux)
226,21.26,29.13,1012.32,0.00
1381,21.25,29.21,1012.28,3.33
2537,21.19,29.32,1012.30,3.33
3693,21.14,29.41,1012.31,3.33
4849,21.11,29.45,1012.28,3.33
6005,21.06,29.51,1012.27,3.33
7161,21.03,29.58,1012.30,3.33
8317,20.97,29.64,1012.27,3.33
9473,20.91,29.73,1012.29,3.33
10629,20.84,29.83,1012.30,3.33
11786,20.80,29.92,1012.28,3.33
12943,20.73,30.00,1012.29,3.33
14100,20.60,30.15,1012.28,3.33
15257,20.49,30.31,1012.29,3.33
16414,20.40,30.42,1012.28,3.33
17571,20.28,30.61,1012.27,3.33
18728,20.21,30.76,1012.25,3.33
19885,20.11,30.91,1012.28,3.33
21042,20.07,31.03,1012.28,3.33
22199,20.03,31.10,1012.28,3.33
23356,19.95,31.22,1012.28,3.33
24513,19.91,31.32,1012.28,3.33
25670,19.87,31.40,1012.29,3.33
26827,19.86,31.48,1012.31,3.33
27984,19.86,31.52,1012.30,3.33
29141,19.79,31.60,1012.31,3.33
