Timestamp (ms),Temperature (°C),Humidity (%),Pressure (hPa),Light Level (lux)
226,20.83,33.09,1012.36,0.00
1381,21.08,32.68,1012.37,0.00
2537,21.19,32.39,1012.35,0.00
3693,21.33,32.08,1012.33,0.00
4849,21.45,31.84,1012.36,0.00
6005,21.62,31.56,1012.37,0.00
7161,21.77,31.29,1012.36,0.00
8317,21.91,31.04,1012.35,0.00
9473,21.96,30.86,1012.36,0.00
10629,22.17,30.57,1012.37,0.00
11786,22.28,30.32,1012.37,0.00
12943,22.41,30.10,1012.32,0.00
14100,22.53,29.90,1012.34,0.00
15257,22.69,29.62,1012.32,0.00
16414,22.97,29.22,1012.31,0.00
17571,23.06,28.95,1012.28,0.00
18728,23.14,28.73,1012.31,0.00
19885,23.24,28.54,1012.32,0.00
21042,23.39,28.29,1012.32,0.00
22199,23.58,28.02,1012.28,0.00
23356,23.72,27.80,1012.36,0.00
24513,23.88,27.60,1012.33,0.00
25670,23.94,27.45,1012.29,0.00
26827,24.10,27.21,1012.28,0.00
27984,24.21,27.01,1012.29,0.00
29141,24.37,26.78,1012.30,0.00
