Timestamp (ms),Temperature (°C),Humidity (%),Pressure (hPa),Light Level (lux)
226,26.15,23.63,1012.32,5.83
1381,26.15,23.61,1012.27,10.00
2538,26.13,23.62,1012.34,10.00
3695,26.12,23.61,1012.32,10.00
4852,26.10,23.67,1012.33,10.00
6009,26.09,23.71,1012.33,10.00
7166,26.08,23.65,1012.35,10.83
8323,26.07,23.60,1012.34,10.83
9480,26.07,23.60,1012.33,10.83
10637,26.06,23.59,1012.36,10.83
11795,26.04,23.58,1012.33,10.83
12953,26.03,23.58,1012.35,10.83
14111,26.01,23.58,1012.34,10.00
15269,26.01,23.59,1012.32,10.00
16427,26.00,23.59,1012.34,10.00
17585,26.00,23.60,1012.35,10.00
18743,26.00,23.61,1012.35,10.00
19901,25.99,23.61,1012.35,9.17
21058,25.99,23.61,1012.34,10.83
22216,25.98,23.62,1012.34,10.83
23374,25.98,23.71,1012.32,10.83
24532,25.97,23.66,1012.32,10.83
25690,25.97,23.67,1012.34,10.83
26848,25.98,23.67,1012.35,10.83
28006,25.96,23.68,1012.34,10.83
29164,25.96,23.69,1012.33,10.83
