Timestamp (ms),Temperature (°C),Humidity (%),Pressure (hPa),Light Level (lux)
226,21.59,36.02,987.13,11.67
1381,21.60,35.96,987.17,16.67
2537,21.59,35.94,987.12,16.67
3693,21.60,35.94,987.14,16.67
4849,21.60,35.95,987.15,16.67
6005,21.60,35.96,987.17,16.67
7161,21.61,35.96,987.17,16.67
8317,21.61,36.02,987.17,16.67
9473,21.61,36.08,987.14,16.67
10629,21.62,36.11,987.15,16.67
11786,21.62,36.10,987.14,16.67
12943,21.61,36.01,987.15,16.67
14100,21.61,35.95,987.15,16.67
15257,21.61,35.94,987.14,16.67
16414,21.62,35.92,987.15,16.67
17571,21.62,35.89,987.13,16.67
18728,21.62,35.89,987.19,16.67
19885,21.62,35.90,987.16,15.83
21042,21.62,35.91,987.16,16.67
22199,21.62,35.89,987.16,15.83
23356,21.62,35.88,987.15,15.83
24513,21.62,35.90,987.13,15.00
25670,21.62,35.89,987.14,15.83
26827,21.62,35.86,987.12,15.83
27984,21.62,35.85,987.15,15.83
29141,21.63,35.84,987.13,15.83
