Timestamp (ms),Temperature (°C),Humidity (%),Pressure (hPa),Light Level (lux)
226,19.14,34.55,987.23,0.00
1380,19.09,33.83,987.23,0.83
2535,19.03,34.17,987.24,0.83
3690,18.99,35.20,987.22,0.83
4845,18.90,34.71,987.21,1.67
6000,18.88,35.92,987.22,0.83
7155,18.84,36.62,987.23,0.83
8310,18.80,37.01,987.22,0.83
9465,18.77,37.29,987.24,0.83
10620,18.72,36.90,987.24,0.83
11776,18.67,36.56,987.24,1.67
12932,18.63,37.23,987.21,1.67
14088,18.58,37.61,987.22,1.67
15244,18.53,37.83,987.20,1.67
16400,18.48,37.45,987.22,1.67
17556,18.42,37.28,987.23,0.83
18712,18.38,37.65,987.22,0.83
19868,18.35,37.72,987.24,0.83
21024,18.30,37.63,987.24,1.67
22180,18.24,37.35,987.25,1.67
23336,18.20,37.61,987.26,1.67
24492,18.15,38.10,987.25,1.67
25648,18.11,38.19,987.25,1.67
26804,18.06,38.30,987.23,1.67
27960,18.02,38.57,987.24,1.67
29116,17.98,38.67,987.23,0.83
