Timestamp (ms),Temperature (°C),Humidity (%),Pressure (hPa),Light Level (lux)
226,18.92,41.68,987.09,888.33
1382,19.22,41.14,987.11,940.00
2539,19.36,40.74,987.10,987.50
3696,19.58,40.28,987.08,919.17
4853,19.81,39.79,987.10,743.33
6010,19.96,39.46,987.07,934.17
7167,20.19,39.05,987.07,937.50
8324,20.33,38.69,987.10,883.33
9481,20.54,38.23,987.04,933.33
10638,20.75,37.75,987.07,855.00
11796,20.85,37.53,987.06,770.83
12954,20.99,37.29,987.07,1131.67
14113,21.08,37.08,987.07,825.00
15271,21.22,36.78,987.08,710.00
16429,21.22,36.65,987.08,817.50
17587,21.31,36.43,987.05,615.00
18745,21.36,36.27,987.09,538.33
19903,21.43,36.13,987.07,854.17
21061,21.56,35.95,987.04,750.00
22219,21.70,35.70,987.03,685.00
23377,21.85,35.46,987.03,720.83
24535,21.93,35.29,987.03,676.67
25693,22.12,35.01,986.99,1010.83
26852,22.26,34.73,986.99,570.00
28010,22.40,34.52,987.02,695.00
29168,22.49,34.35,987.02,440.00
